Zaman,MPN,Description,Risk Skoru,Birim Fiyat (USD),Küresel Stok,Karşılama Oranı (%)
2026-08-28 14:23:17,1N4148,DIODE GEN PURP 100V 200MA DO35,50,,0,0.0
2026-08-28 14:23:17,ATMEGA328P-PU,IC MCU 8BIT 32KB FLASH 28DIP,50,,0,0.0
2026-08-28 14:23:17,CC0402KRX7R9BB104,CAP CER 0.1UF 50V X7R 0402,50,,0,0.0
2026-08-28 14:23:17,CRCW060310K0FKEA,RES SMD 10K OHM 1% 110W 0603,50,,0,0.0
2026-08-28 14:23:17,ESP32-WROOM-32,SMD IC ESP32-WROOM-32,50,,0,0.0
2026-08-28 14:23:17,MAX232CPE,IC TRANSCEIVER FULL 22 16DIP,50,,0,0.0
2026-08-28 14:23:17,NE555P,IC OSC SINGLE TIMER 100KHZ 8-DIP,50,,0,0.0
2026-08-28 14:23:17,RC0402JR-0710KL,RES SMD 10K OHM 5% 116W 0402,50,,0,0.0
2026-08-28 14:23:17,STM32F405RGT6,IC MCU 32BIT 1MB FLASH 64LQFP,50,,0,0.0
2026-08-28 14:59:39,1N4148,DIODE GEN PURP 100V 200MA DO35,50,,0,0.0
2026-08-28 14:59:39,ATMEGA328P-PU,IC MCU 8BIT 32KB FLASH 28DIP,50,,0,0.0
2026-08-28 14:59:39,CC0402KRX7R9BB104,CAP CER 0.1UF 50V X7R 0402,50,,0,0.0
2026-08-28 14:59:39,CRCW060310K0FKEA,RES SMD 10K OHM 1% 110W 0603,50,,0,0.0
2026-08-28 14:59:39,ESP32-WROOM-32,SMD IC ESP32-WROOM-32,50,,0,0.0
2026-08-28 14:59:39,MAX232CPE,IC TRANSCEIVER FULL 22 16DIP,50,,0,0.0
2026-08-28 14:59:39,NE555P,IC OSC SINGLE TIMER 100KHZ 8-DIP,50,,0,0.0
2026-08-28 14:59:39,RC0402JR-0710KL,RES SMD 10K OHM 5% 116W 0402,50,,0,0.0
2026-08-28 14:59:39,STM32F405RGT6,IC MCU 32BIT 1MB FLASH 64LQFP,50,,0,0.0
2026-08-28 15:02:26,1N4148,DIODE GEN PURP 100V 200MA DO35,50,,0,0.0
2026-08-28 15:02:26,ATMEGA328P-PU,IC MCU 8BIT 32KB FLASH 28DIP,50,,0,0.0
2026-08-28 15:02:26,CC0402KRX7R9BB104,CAP CER 0.1UF 50V X7R 0402,50,,0,0.0
2026-08-28 15:02:26,CRCW060310K0FKEA,RES SMD 10K OHM 1% 110W 0603,50,,0,0.0
2026-08-28 15:02:26,ESP32-WROOM-32,SMD IC ESP32-WROOM-32,50,,0,0.0
2026-08-28 15:02:26,MAX232CPE,IC TRANSCEIVER FULL 22 16DIP,50,,0,0.0
2026-08-28 15:02:26,NE555P,IC OSC SINGLE TIMER 100KHZ 8-DIP,50,,0,0.0
2026-08-28 15:02:26,RC0402JR-0710KL,RES SMD 10K OHM 5% 116W 0402,50,,0,0.0
2026-08-28 15:02:26,STM32F405RGT6,IC MCU 32BIT 1MB FLASH 64LQFP,50,,0,0.0
2026-08-28 15:03:59,1N4148,DIODE GEN PURP 100V 200MA DO35,50,,0,0.0
2026-08-28 15:03:59,ATMEGA328P-PU,IC MCU 8BIT 32KB FLASH 28DIP,50,,0,0.0
2026-08-28 15:03:59,CC0402KRX7R9BB104,CAP CER 0.1UF 50V X7R 0402,50,,0,0.0
2026-08-28 15:03:59,CRCW060310K0FKEA,RES SMD 10K OHM 1% 110W 0603,50,,0,0.0
2026-08-28 15:03:59,ESP32-WROOM-32,SMD IC ESP32-WROOM-32,50,,0,0.0
2026-08-28 15:03:59,MAX232CPE,IC TRANSCEIVER FULL 22 16DIP,50,,0,0.0
2026-08-28 15:03:59,NE555P,IC OSC SINGLE TIMER 100KHZ 8-DIP,50,,0,0.0
2026-08-28 15:03:59,RC0402JR-0710KL,RES SMD 10K OHM 5% 116W 0402,50,,0,0.0
2026-08-28 15:03:59,STM32F405RGT6,IC MCU 32BIT 1MB FLASH 64LQFP,50,,0,0.0
